KQA2101,EGLL,HKJK,B788,17:55,,364,,,
BAW488,EGLL,LEBL,A320,17:55,,309,,,
DLH7UM,EGLL,EDDM,A20N,17:55,,223,,,
EIN17K,EGLL,EIDW,A21N,17:45,,221R,,,
THY3KT,EGLL,LTFM,A333,17:40,,247,,,
AFR56RZ,EGLL,LFPG,A319,17:35,,303R,,,
BAW5VY,EGLL,CYVR,A35K,17:30,,537,,,
BAW736,EGLL,LSGG,A20N,17:30,,523,,,
SVA108,EGLL,OERK,B77W,17:30,,238,,,
DLH8NM,EGLL,EDDF,A20N,17:30,,218L,,,
KQA101,EGLL,HKJK,B788,17:25,,329,,,
SWR349R,EGLL,LSGG,BCS3,17:25,,216,,,
BAW932,EGLL,EDDL,A20N,17:20,,533,,,
CPA008,EGLL,LFPG,B748,17:15,,607,,,
ALK506,EGLL,VRMM,A333,17:15,,326,,,
AAL107,EGLL,KJFK,B77W,17:05,,595,,,
BAW99,EGLL,CYYZ,B789,17:05,,536,,,
BAW85Q,EGLL,EIDW,A319,17:05,,520,,,
KLM16K,EGLL,EHAM,B738,17:05,,303L,,,
BAW9250,EGLL,EGJJ,A20N,17:00,,583,,,
SZS506,EGLL,EKCH,A20N,17:00,,224,,,
ITY207,EGLL,LIRF,A319,16:55,,226,,,
BAW18LX,EGLL,ELLX,A21N,16:45,,531,,,
BAW21G,EGLL,KBOS,B789,16:40,,548,,,
BAW6NC,EGLL,CYUL,B788,16:40,,543,,,
AEE3LG,EGLL,LGAV,A20N,16:35,,223,,,
BAW293,EGLL,KIAD,B789,16:30,,555,,,
BAW189,EGLL,KEWR,B78X,16:30,,554,,,
TAP136V,EGLL,LPPT,A21N,16:30,,217,,,
BAW2708,EGLL,LEBB,A320,16:25,,576,,,
BAW660,EGLL,LCLK,A20N,16:25,,509,,,
BAW636,EGLL,LGAV,A20N,16:20,,506,,,
UAL925,EGLL,KIAD,B763,16:20,,232,,,
EIN169,EGLL,EIDW,A320,16:20,,221R,,,
BAW6FM,EGLL,LTFM,A320,16:15,,511,,,
THY70Y,EGLL,LTFM,B77W,16:15,,243,,,
BAW275,EGLL,KLAS,B772,16:10,,544,,,
CXA8712,EGLL,ZSAM,B789,16:10,,365,,,
BAW920X,EGLL,EDDS,A320,16:05,,575,,,
BAW27PO,EGLL,LPPR,A320,16:05,,508,,,
RJA112A,EGLL,OJAI,B788,16:05,,326,,,
VIR9M,EGLL,KJFK,B789,16:05,,320,,,
BAW43,EGLL,FACT,B772,16:00,,566,,,
BAW476,EGLL,LEBL,A320,16:00,,311,,,
UAL941,EGLL,KEWR,B763,16:00,,248,,,
MAU53,EGLL,FIMP,A359,16:00,,239,,,
BLA4132,EGLL,LFMN,B38M,16:00,,219,,,
BAW2570,EGLL,LEPA,A319,15:55,,527,,,
BAW2774,EGLL,EGJJ,A319,15:55,,501,,,
BAW604P,EGLL,LIRP,A320,15:55,,330,,,
VIR636,EGLL,VHHH,B789,15:50,,594,,,
UAE79Y,EGLL,OMDB,A388,15:50,,307,,,
BAW2578,EGLL,LIMF,A320,15:45,,518,,,
IBE3177,EGLL,LEMD,A20N,15:45,,517,,,
SHT6E,EGLL,EGPF,A320,15:40,,505,,,
EWG9465,EGLL,EDDL,A319,15:40,,216,,,
SAS806,EGLL,ENGM,A20N,15:35,,224,,,
BAW200M,EGLL,LEMG,A20N,15:30,,562,,,
BAW22B,EGLL,KBWI,B788,15:30,,551,,,
DLH4EK,EGLL,EDDF,A20N,15:30,,218L,,,
BAW400,EGLL,HECA,A21N,15:20,,558,,,
BAW316,EGLL,LFPG,A320,15:20,,519,,,
VIR11B,EGLL,KBOS,B789,15:20,,325,,,
BAW269,EGLL,KLAX,A388,15:15,,557,,,
BAW2692,EGLL,LPFR,A320,15:15,,525,,,
BAW850T,EGLL,EPWA,A320,15:15,,520,,,
