1,C,36,45
1R,C,36,45
2,C,36,45
4,C,36,45
5,C,36,45
6,C,36,45
7,C,36,45
8,C,36,45
9,C,36,45
9L,C,36,45
10,D,48,57
10R,C,36,55
11,D,48,57
11L,C,36,55
11R,C,36,50
12,D,48,51
12R,C,36,51
13,D,48,57
13L,C,36,51
13R,C,36,51
14,D,48,57
14L,C,36,51
15,D,48,62
15L,C,36,65
16,C,36,45
17,C,36,51
18,C,36,38
19,C,36,38
20,C,36,38
21,E,65,64
21L,C,36,46
21R,C,36,56
22,E,65,64
23,E,65,64
23L,C,36,56
23R,C,36,51
30,D,48,57
31,E,65,60
41,E,65,67
41L,C,36,53
41R,C,36,56
42,E,65,67
42L,C,36,53
42R,C,36,65
43,D,52,56
43L,C,36,55
44,E,65,58
44L,C,36,45
44R,C,36,54
45,D,52,56
45R,C,36,45
46,C,36,45
47,C,36,45
48,C,36,45
49,C,36,45
56,D,52,50
58,D,52,62
60,C,36,38
61,C,36,38
80,D,52,62
81,C,36,45
90,C,36,45
91,C,36,45
92,C,36,45
93,C,36,45
