12 30 123 303 N051.12.43.210 W001.36.13.490 N051.12.29.890 W001.35.40.640 EGHO Thruxton
12 30 122 302 N050.26.49.340 W005.00.43.250 N050.26.09.170 W004.58.56.560 EGHQ Newquay
06 24 057 237 N050.51.32.240 W000.45.45.590 N050.51.44.870 W000.45.14.940 EGHR Chichester/Goodwood
10 28 103 283 N050.51.46.620 W000.45.48.150 N050.51.41.510 W000.45.13.280 EGHR Chichester/Goodwood
14 32 139 319 N050.51.45.640 W000.45.50.100 N050.51.21.900 W000.45.17.750 EGHR Chichester/Goodwood
08 26 080 260 N049.42.21.580 W002.13.14.980 N049.42.26.780 W002.12.31.920 EGJA Alderney
09 27 088 268 N049.26.04.660 W002.36.43.330 N049.26.06.670 W002.35.30.780 EGJB Guernsey
08 26 083 263 N049.12.25.440 W002.12.21.940 N049.12.31.800 W002.11.05.660 EGJJ Jersey
02 20 021 201 N050.49.57.900 W000.17.56.610 N050.50.20.680 W000.17.42.360 EGKA Shoreham
02G 20G 021 201 N050.50.02.000 W000.17.51.160 N050.50.20.150 W000.17.39.860 EGKA Shoreham
06 24 063 243 N050.50.00.710 W000.17.51.640 N050.50.09.350 W000.17.24.280 EGKA Shoreham
13 31 124 304 N050.50.18.020 W000.17.40.280 N050.50.10.440 W000.17.23.070 EGKA Shoreham
03 21 025 205 N051.19.32.440 E000.01.42.180 N051.20.17.720 E000.02.16.980 EGKB Biggin Hill
08L 26R 077 257 N051.08.51.040 W000.12.29.180 N051.09.03.690 W000.10.57.400 EGKK Gatwick
08R 26L 077 257 N051.08.45.100 W000.12.24.590 N051.09.02.430 W000.10.18.930 EGKK Gatwick
08L 26R 074 254 N051.12.48.830 W000.08.35.690 N051.12.54.760 W000.08.01.790 EGKR Redhill
08R 26L 074 254 N051.12.45.060 W000.08.41.490 N051.12.52.760 W000.07.56.940 EGKR Redhill
18 36 180 000 N051.13.03.350 W000.08.26.400 N051.12.40.720 W000.08.27.040 EGKR Redhill
09 27 093 273 N051.30.19.900 E000.02.44.730 N051.30.17.730 E000.03.53.840 EGLC London City
06 24 062 242 N051.16.22.190 W000.47.06.760 N051.16.41.360 W000.46.09.220 EGLF Farnborough
07 25 071 251 N051.19.21.170 W000.51.16.680 N051.19.31.400 W000.50.27.640 EGLK Blackbushe
09L 27R 089 269 N051.28.39.000 W000.29.05.970 N051.28.39.630 W000.25.59.820 EGLL London Heathrow
09R 27L 089 269 N051.27.53.250 W000.28.56.330 N051.27.53.820 W000.26.02.760 EGLL London Heathrow
05 23 053 233 N051.33.57.330 E000.40.59.960 N051.34.27.710 E000.42.07.480 EGMC Southend
03 21 033 213 N050.57.01.750 E000.56.00.110 N050.57.41.750 E000.56.40.790 EGMD Lydd
01 19 001 181 N054.56.07.660 W002.48.40.800 N054.56.32.120 W002.48.39.970 EGNC Carlisle
06 24 059 239 N054.56.03.170 W002.49.07.030 N054.56.25.950 W002.48.00.030 EGNC Carlisle
03 21 026 206 N053.16.32.770 W000.57.18.480 N053.17.07.950 W000.56.51.180 EGNE Retford Gamston
10 28 095 275 N053.46.20.060 W003.02.33.680 N053.46.15.160 W003.00.51.980 EGNH Blackpool
02 20 024 204 N053.33.55.190 W000.21.25.410 N053.34.53.520 W000.20.45.080 EGNJ Humberside
14 32 138 318 N053.52.17.150 W001.40.08.680 N053.51.37.310 W001.39.07.440 EGNM Leeds Bradford
07 25 071 251 N053.44.29.780 W002.54.01.220 N053.44.54.390 W002.51.59.510 EGNO Warton
04 22 042 222 N053.10.23.680 W002.59.04.930 N053.10.58.840 W002.58.14.060 EGNR Hawarden
03 21 031 211 N054.04.42.700 W004.37.51.730 N054.05.14.270 W004.37.23.220 EGNS Isle of Man - Ronaldsway
08 26 081 261 N054.04.54.980 W004.38.04.490 N054.05.05.250 W004.36.42.550 EGNS Isle of Man - Ronaldsway
07 25 066 246 N055.02.02.350 W001.42.16.680 N055.02.30.460 W001.40.30.760 EGNT Newcastle
05 23 048 228 N054.30.08.030 W001.26.32.750 N054.30.58.140 W001.24.58.950 EGNV Teesside
09 27 088 268 N052.49.50.360 W001.20.48.860 N052.49.52.880 W001.18.30.940 EGNX East Midlands
05 23 046 226 N052.47.33.690 W002.40.35.990 N052.48.05.270 W002.39.44.280 EGOS Shawbury
18 36 181 001 N052.48.06.670 W002.40.04.680 N052.47.07.430 W002.40.04.480 EGOS Shawbury
01 19 003 183 N053.14.36.640 W004.32.25.650 N053.15.27.170 W004.32.16.330 EGOV Valley
13 31 133 313 N053.15.13.650 W004.32.46.890 N053.14.25.610 W004.31.12.860 EGOV Valley
09 27 089 269 N058.57.28.030 W002.54.36.440 N058.57.29.830 W002.53.19.510 EGPA Kirkwall
14 32 142 322 N058.57.37.810 W002.54.33.180 N058.57.23.920 W002.54.10.930 EGPA Kirkwall
06 24 055 235 N059.52.29.150 W001.16.57.640 N059.52.39.610 W001.16.57.640 EGPB Sumburgh
09 27 085 265 N059.52.50.097 W001.18.19.003 N059.52.55.070 W001.16.55.059 EGPB Sumburgh
15 33 145 325 N059.52.49.087 W001.17.54.057 N059.52.22.058 W001.17.14.280 EGPB Sumburgh
