EGCC,100
EGCN,1L
EGCN,1R
EGCN,2L
EGCN,2R,
EGCN,4L
EGCN,4R
EGCN,5L
EGCN,5R
EGCN,7L
EGCN,16L
EGCN,16R
EGCN,17R
EGGD,W1
EGGD,W2
EGGD,W3
EGGD,W4
EGGD,W5
EGGD,W6
EGGD,W7
EGGD,W8
EGGW,10R
EGGW,11R
EGGW,11L
EGGW,12R
EGGW,13R
EGGW,13L
EGGW,14R
EGGW,14L
EGGW,15R
EGGW,15L
EGGW,21L
EGGW,21R
EGGW,23L
EGGW,23R
EGGW,41L
EGGW,41R
EGGW,42L
EGGW,42R
EGGW,43L
EGGW,44L
EGGW,44R
EGGW,45R
