FA7X,86,76.08
F900,70.17,66.31
MIR2,29.92,47.75
FA10,42.92,45.48
FA20,53.5,56.25
AJET,29.9,43.42
DHC2,48,30.25
DA20,35.67,23.33
DA40,39.17,26.25
DA42,44.5,28.08
DA50,44,29.5
DA62,47.83,30.08
D228,55.67,54.33
D328,68.83,69.67
EA50,37.25,33.08
E110,50.25,50.33
E120,64.92,65.67
E121,48.67,44.08
E170,101.67,106
E190,101.67,106
IPAN,43.64,26.33
TUCA,37,32.33
E314,36.54,37.33
E135,65.75,86.42
E35L,65.75,86.42
E145,65.75,98
E45X,68.92,98
E50P,40.33,42.08
E55P,52.17,51.33
ERCO,30,20.75
F27,95.15,82.21
GLAS,35,23
GLST,35,23
GA7,36.83,28.67
GLF4,77.83,88.33
GLF2,77.83,79.92
GLF3,77.83,83.08
GALX,58.08,62.25
G280,63,66.83
GLF5,93.5,96.42
GA6C,95,96.08
GLF6,99.58,99.75
ASTR,58.08,62.25
G150,55.58,56.75
HA4T,61.75,69.17
H25B,54.33,51.17
WW23,44.79,52.25
WW24,44.79,52.25
LA25,38,28.33
LA4,38,24.92
C130,132.6,97.75
MU2,39.17,39.42
M10,30,20.67
MITE,26.88,17.6
M20P,36.5,26.67
M20T,36.08,25.42
M22,35,26
NAVI,33.42,27.5
SS2P,44.33,29.17
P180,46.04,47.27
PC12,53.33,47.25
J3,38,22.42
PA18,35.29,22.5
PA24,36,24.79
P28A,35,23.79
P28B,35,24.73
P28R,35.42,24.67
P28T,35.42,24.67
PA31,40.67,32.63
PAY1,42.69,34.67
PAY2,42.69,34.67
PA32,36.17,27.9
PA34,38.9,28.63
PAY4,47.67,43.4
PAY3,47.67,43.4
PA44,38.6,27.6
PA46,43,28.9
P46T,43.17,29.6
AEST,36.67,34.81
AN2,59.65,40.69
M18,58.06,31.08
EDGE,25.17,22.67
SB20,81.25,89.5
SF34,70.33,64.75
DC85,142.4,150.7
DC86,148.4,187.4
DC87,148.4,187.4
A19N,117.41,111.0
A20N,117.41,123.25
A21N,117.41,146.00
E195,94.25,126.83
F100,92.0,116.58
L188,99.0,104.5
MD81,107.85,147.83
MD87,107.85,130.5
T134,95.20,121.75
T154,123.20,157.5
AT46,80.58,74.42
AT73,88.76,89.13
AT75,88.76,89.13
AT76,88.76,89.13
ATP,100.5,85.30
CRJ1,68.67,87.83
F28,82.25,89.80
F50,95.20,82.80
F50,95.20,82.80
F70,92.20,101.40
